Torque,Speed
89.3406,226.099
88.8045,226.992
88.2717,227.881
87.7421,228.763
87.2156,229.641
86.6923,230.513
86.1722,231.38
85.6551,232.241
85.1412,233.098
84.6303,233.949
84.1226,234.796
83.6178,235.637
83.1161,236.473
82.6174,237.304
82.1217,238.13
81.629,238.952
81.1392,239.768
80.6524,240.579
80.1685,241.386
79.6875,242.188
79.2093,242.984
78.7341,243.777
78.2617,244.564
77.7921,245.346
77.3253,246.124
76.8614,246.898
76.4002,247.666
75.9418,248.43
75.4862,249.19
75.0333,249.945
73.9576,250.695
72.8483,251.434
71.7556,252.163
70.6792,252.881
69.619,253.587
68.5747,254.284
67.5461,254.969
66.5329,255.645
65.5349,256.31
64.5519,256.965
63.5836,257.611
62.6299,258.247
61.6904,258.873
60.7651,259.49
59.8536,260.098
58.9558,260.696
58.0715,261.286
57.2004,261.866
56.3424,262.438
55.4972,263.002
54.6648,263.557
53.8448,264.103
53.0371,264.642
52.2416,265.172
51.458,265.695
50.6861,266.209
49.9258,266.716
49.1769,267.215
48.4393,267.707
47.7127,268.192
46.997,268.669
46.292,269.139
45.5976,269.602
44.9137,270.058
44.24,270.507
43.5764,270.949
42.9227,271.385
42.2789,271.814
41.6447,272.237
41.02,272.653
40.4047,273.064
39.7987,273.468
39.2017,273.866
38.6137,274.258
38.0345,274.644
37.4639,275.024
36.902,275.399
36.3485,275.768
35.8032,276.131
35.2662,276.489
34.7372,276.842
34.2161,277.189
33.7029,277.531
33.1973,277.868
32.6994,278.2
32.2089,278.527
31.7258,278.849
31.2499,279.167
30.7811,279.479
30.3194,279.787
29.8646,280.09
29.4166,280.389
28.9754,280.683
28.5408,280.973
28.1127,281.258
27.691,281.539
27.2756,281.816
26.8665,282.089
26.4635,282.358
26.0665,282.622
25.6755,282.883
25.2904,283.14
24.911,283.393
24.5374,283.642
24.1693,283.887
23.8068,284.129
23.4497,284.367
23.0979,284.601
22.7514,284.832
22.4102,285.06
22.074,285.284
21.7429,285.505
21.4168,285.722
21.0955,285.936
20.7791,286.147
20.4674,286.355
20.1604,286.56
19.858,286.761
19.5601,286.96
19.2667,287.156
18.9777,287.348
18.693,287.538
18.4126,287.725
18.1365,287.909
17.8644,288.09
17.5964,288.269
17.3325,288.445
17.0725,288.618
16.8164,288.789
16.5642,288.957
16.3157,289.123
16.071,289.286
15.8299,289.447
15.5925,289.605
15.3586,289.761
15.1282,289.915
14.9013,290.066
14.6778,290.215
14.4576,290.362
14.2407,290.506
14.0271,290.649
13.8167,290.789
13.6095,290.927
13.4053,291.063
13.2042,291.197
13.0062,291.329
12.8111,291.459
12.6189,291.587
12.4296,291.714
12.2432,291.838
12.0595,291.96
11.8786,292.081
11.7005,292.2
11.525,292.317
11.3521,292.432
11.1818,292.545
11.0141,292.657
10.8489,292.767
10.6861,292.876
10.5258,292.983
10.368,293.088
10.2124,293.192
10.0592,293.294
9.90836,293.394
9.75973,293.494
9.61334,293.591
9.46914,293.687
9.3271,293.782
9.18719,293.875
9.04939,293.967
8.91365,294.058
8.77994,294.147
8.64824,294.235
8.51852,294.321
8.39074,294.406
8.26488,294.49
8.14091,294.573
8.01879,294.654
7.89851,294.734
7.78003,294.813
7.66333,294.891
7.54838,294.968
7.43516,295.043
7.32363,295.118
7.21377,295.191
7.10557,295.263
6.99898,295.334
6.894,295.404
6.79059,295.473
6.68873,295.541
6.5884,295.608
6.48957,295.674
6.39223,295.739
6.29635,295.802
6.2019,295.865
6.10887,295.927
6.01724,295.989
5.92698,296.049
5.83808,296.108
5.75051,296.166
5.66425,296.224
5.57928,296.28
5.4956,296.336
5.41316,296.391
5.33196,296.445
5.25198,296.499
5.1732,296.551
5.09561,296.603
5.01917,296.654
4.94388,296.704
4.86973,296.754
4.79668,296.802
4.72473,296.85
4.65386,296.897
4.58405,296.944
4.51529,296.99
4.44756,297.035
4.38085,297.079
4.31514,297.123
